Organization,Address,Reviewer,Review Title,Review,Review Count,Helpful Count,Restaurant Count,Location,Rating Date,Rating
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,japcam,Great find in Paddington,Strolled past Brekky Art one morning looking for somewhere different to go and I'm so glad we popped in. The interior is very quirky and has a nice  warm feeling about it. There are a few tables plus some benches at the side if you prefer to sit on stools. The kitchen itself isn't big at all... read more,50,26,32,Sydney,18 September 2015,5
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,Deekayoz,Great coffee.,Coffee was great  veg omelet very dry and boring and not worth the price point. Girlfriends toasted banana bread looked awesome.,152,130,82,Sydney  New South Wales,3 weeks ago,3
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,Fan0fWine,Great find in Paddington,Strolled past Brekky Art one morning looking for somewhere different to go and I'm so glad we popped in. The interior is very quirky and has a nice  warm feeling about it. There are a few tables plus some benches at the side if you prefer to sit on stools. The kitchen itself isn't big at all but the food...   More,12,12,11,Sydney  New South Wales,18 September 2015,5
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,bbsydney96,Don't overlook this gem in favour of the hipsters,I live next door to this place and for ages favoured the hipster place down the road  until one day when it was raining I decided to be lazy and have coffee here. I am a complete coffee snob and I will hand on heart say this is one of the best places for coffee in sydney. At least of...   More,199,72,127,Stanmore  Sydney,3 September 2015,5
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,Sangeeth1967,Seven for brunch,One of the best salads I have ever eaten. Seven of us dropped in for brunch. We ate a variety of wraps and salads and not one of the group was disappointed. I had the haloumi salad and it was out of this world. I loved the crunchy veges  the quinoa and the delicious dressing. Those that had smoothies were...   More,8,12,3,Rozelle  Sydney,19 April 2015,5
Brekky Art,379 South Dowling Street | Darlinghurst Sydney New South Wales 2010 Australia,David B,Great cosy place for a good coffee,Quite by accident I found Brekky Art. I had time to kill;had to pull over and wait for my wife to finish an errand. I was glad I did  I found Brekky Art  a nice quaint cosy place with good coffee  friendly staff and good cookies. Wasn't feeling hungry to eat anymore but going by the demeanour of the place...   More,217,137,126,Sydney  New South Wales,30 July 2014,5
Balkan Bake,297 Darling Street Balmain Sydney New South Wales 2041 Australia,Neil E,Love this place,Staying in Balmain for 3 weeks and came across Balkanbake one day. To see Aleksandar Petrovski working with this amazingly thin transparent dough is worth the visit in itself. Have had breakfast a number of times and the baked eggs are great. Very friendly staff. The Bureks are unlike I have seen... read more,12,8,4,Melbourne  Victoria  Australia,6 August 2013,4
Balkan Bake,297 Darling Street Balmain Sydney New South Wales 2041 Australia,Yby F,Love this place,Staying in Balmain for 3 weeks and came across Balkanbake one day. To see Aleksandar Petrovski working with this amazingly thin transparent dough is worth the visit in itself. Have had breakfast a number of times and the baked eggs are great. Very friendly staff. The Bureks are unlike I have seen elsewhere as the dough he uses is extraordinary....   More,33,32,16,Balmain  Sydney,6 August 2013,4
Balkan Bake,297 Darling Street Balmain Sydney New South Wales 2041 Australia,JenniferJennJenn,Burek needs some work,I was excited to see this cafe pop up as I was introduced to Burek a couple of years ago by some Macedonian friends. That excitement was short lived when I ordered a Burek and what came out was mostly pastry with no filling. Def over priced for what you get. Im a local and would tather travel to rockdale...   More,57,33,23,Melbourne  Victoria  Australia,31 July 2013,1
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,Karl_10117,Outstanding Japanese,A little bit hard to find  closed on weekends and not the fanciest restaurant but the food more than makes up for it. The menu is pretty straightforward but everything I've had here is awesome - sushi and nigiri  set meals  tempura  chicken kara age and best of all chicken katsu curry. The prices... read more,53,41,36,Singapore  Singapore,9 April 2013,5
